Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,1000
1,0,2,166,1000
2,0,1,322,1000
3,0,1,470,1000
4,0,1,619,1000
5,0,1,758,1000
6,0,1,896,1000
7,0,0,1000,1000
8,0,0,1000,1000
9,0,0,1000,1000
10,0,0,1000,1000
11,0,0,1000,1000
12,0,0,1000,1000
13,0,0,1000,1000
14,0,0,1000,1000
15,0,0,1000,1000
16,0,0,1000,1000
17,0,0,1000,1000
18,0,0,1000,1000
19,0,0,1000,1000
20,0,0,1000,1000
21,0,0,1000,1000
22,0,0,1000,1000
23,0,0,1000,1000
24,0,0,1000,1000
25,0,0,1000,1000
26,0,0,1000,1000
27,0,0,1000,1000
28,0,0,1000,1000
29,0,0,1000,1000
30,0,0,1000,1000
31,0,0,1000,1000
32,0,0,1000,1000
33,0,0,1000,1000
34,0,0,1000,1000
35,0,0,1000,1000
36,0,0,1000,1000
37,0,0,1000,1000
38,0,0,1000,1000
39,0,0,1000,1000
40,0,0,1000,1000
41,0,0,1000,1000
42,0,0,1000,1000
43,0,0,1000,1000
44,0,0,1000,1000
